description,rating,number_of_lists,number_of_watches,number_of_likes,number_of_fans,name_of_director,film_name
"A GREAT DRAMA OF HUMAN EMOTIONS
A group of French soldiers, including the patrician Captain de Boeldieu and the working-class Lieutenant Maréchal, grapple with their own class differences after being captured and held in a World War I German prison camp. When the men are transferred to a high-security fortress, they must concoct a plan to escape beneath the watchful eye of aristocratic German officer von Rauffenstein, who has formed an unexpected bond with de Boeldieu.",4.2,53K,71K,19K,408 FANS,Jean Renoir,grand-illusion-1938
"HALF ANGEL, HALF SIREN, ALL WOMAN.
In 1850s Louisiana, the willfulness of a tempestuous Southern belle threatens to destroy all who care for her.",3.5,19K,25K,4.7K,87 FANS,William Wyler,jezebel-1938
"HE PICKED UP A GIRL FROM THE GUTTER - AND CHANGED HER INTO A GLAMOROUS SOCIETY BUTTERFLY!
When linguistics professor Henry Higgins boasts that he can pass off Cockney flower girl Eliza Doolittle as a princess with only six months’ training, Colonel George Pickering takes him up on the bet. Eliza moves into Higgins’s home and begins her rigorous training after the professor comes to a financial agreement with her dustman father, Alfred. But the plucky young woman is not the only one undergoing a transformation.",3.7,12K,14K,3.3K,55 FANS,"Leslie Howard, Anthony Asquith",pygmalion-1938
"THEY’RE YOURS… IN A HEART-WALLOPING LOVE STORY!
Jim is a test pilot. His wife Ann and best friend Gunner try their best to keep him sober. But the life of a test pilot is anything but safe.",3.4,3.7K,2.4K,416,,Victor Fleming,test-pilot-1938
"THE GREATEST ROMANCE OF ALL TIME!
The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.",3.9,125K,399K,86K,7K FANS,Victor Fleming,gone-with-the-wind-1939
"I’VE CRAMMED EVERY MINUTE SO FULL OF WASTE. AND NOW THERE’S SO LITTLE TIME. I DON’T KNOW WHAT TO DO. I’M AFRAID!
Socialite Judith Traherne lives a lavish but emotionally empty life. Riding horses is one of her few joys, and her stable master is secretly in love with her. Told she has a brain tumor by her doctor, Frederick Steele, Judith becomes distraught. After she decides to have surgery to remove the tumor, Judith realizes she is in love with Dr. Steele, but more troubling medical news may sabotage her new relationship, and her second chance at life.",3.7,9.4K,14K,3.3K,56 FANS,Edmund Goulding,dark-victory-1939
"AT THE TOP OF THE YEAR’S “TEN BEST” - THE PICTURE THAT EARNS FOR 1939 A PROUD PLACE IN MOTION-PICTURE HISTORY!
A shy British teacher looks back nostalgically at his long career, taking note of the people who touched his life.",3.7,9.5K,8.3K,1.8K,37 FANS,Sam Wood,goodbye-mr-chips-1939
"A French playboy and an American former nightclub singer fall in love aboard a ship. They arrange to reunite six months later, if neither has changed their mind.",3.7,12K,14K,3.6K,34 FANS,Leo McCarey,love-affair-1939
"ROMANCE, DRAMA, LAUGHTER AND HEARTBREAK… CREATED OUT OF THE VERY HEART AND SOIL OF AMERICA!
After the death of a United States Senator, idealistic Jefferson Smith is appointed as his replacement in Washington. Soon, the naive and earnest new senator has to battle political corruption.",4.1,51K,108K,29K,573 FANS,Frank Capra,mr-smith-goes-to-washington-1939
"GARBO LAUGHS!
A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.",4.0,28K,44K,13K,278 FANS,Ernst Lubitsch,ninotchka-1939
"SHE WAS MADE FOR LOVE… AND TRAGEDY.
An intellectually disabled giant and his level headed guardian find work at a sadistic cowboy’s ranch in depression era America.",3.7,7.4K,7.9K,1.6K,10 FANS,Lewis Milestone,of-mice-and-men-1939
"A POWERFUL STORY OF NINE STRANGE PEOPLE.
A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",4.0,64K,129K,34K,255 FANS,John Ford,stagecoach-1939
"WE’RE OFF TO SEE THE WIZARD, THE WONDERFUL WIZARD OF OZ!
Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",3.9,213K,1.4M,347K,14K FANS,Victor Fleming,the-wizard-of-oz-1939
"I AM TORN WITH DESIRE… TORTURED BY HATE!
The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw’s son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley’s sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the moors and despite the continued enmity between Hindley and Heathcliff they’re …more",3.6,23K,36K,8.2K,294 FANS,William Wyler,wuthering-heights-1939
"“LAST NIGHT I DREAMT I WENT TO MANDERLEY AGAIN…”
Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",4.1,106K,219K,64K,2.1K FANS,Alfred Hitchcock,rebecca-1940
"THE SCREEN HAS NEVER HELD GREATER THRILLS THAN THESE: THE DEEP-STIRRING ROMANCE OF TWO HEAVEN-DESTINED LOVERS …THE MAGNIFICENT SURGE OF ITS HISTORY-MAKING STORY …AND THE FIRST, MOMENTOUS CLASH OF HOLLYWOOD’S MOST DYNAMIC STARS!
When lovely and virtuous governess Henriette Deluzy comes to educate the children of the debonair Duc de Praslin, a royal subject to King Louis-Philippe and the husband of the volatile and obsessive Duchesse de Praslin, she instantly incurs the wrath of her mistress, who is insanely jealous of anyone who comes near her estranged husband. Though she saves the duchess’s little son from a near-death illness and warms herself to all the children, she …more",3.5,4.5K,3.8K,794,6 FANS,Anatole Litvak,all-this-and-heaven-too-1940
"THE THRILL SPECTACLE OF THE YEAR!
American crime reporter John Jones is reassigned to Europe as a foreign correspondent to cover the imminent war. When he walks into the middle of an assassination and stumbles on a spy ring, he seeks help from a beautiful politician’s daughter and an urbane English journalist to uncover the truth.",3.7,24K,38K,8.6K,27 FANS,Alfred Hitchcock,foreign-correspondent-1940
"THE JOADS STEP RIGHT OUT OF THE PAGES OF THE NOVEL THAT HAS SHOCKED MILLIONS!
Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life… Hopefully.",4.2,51K,92K,22K,376 FANS,John Ford,the-grapes-of-wrath-1940
"ONCE AGAIN - THE WHOLE WORLD LAUGHS!
Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel’s regime.",4.3,86K,275K,76K,1.5K FANS,Charlie Chaplin,the-great-dictator-1940
"THE NATURAL HISTORY OF A WOMAN
A hard-working, white-collar girl falls in love with a young socialite, but meets with his family’s disapproval.",3.3,5.9K,4.7K,705,2 FANS,Sam Wood,kitty-foyle-1940
"FASCINATING, TANTALIZING AND DANGEROUS!
After a woman shoots a man to death, a damning letter she wrote raises suspicions.",3.7,12K,18K,4K,24 FANS,William Wyler,the-letter-1940
"THE LOVE OF WOMEN IN THEIR EYES… THE SALT OF THE SEA IN THEIR BLOOD!
The crew of the merchant ship Glencairn hope to survive a transatlantic crossing during World War II. Adapted from four Eugene O’Neill one-act plays.",3.7,8.5K,7.3K,1.7K,5 FANS,John Ford,the-long-voyage-home-1940
"THEIR LOVE AFFAIR WAS THE TALK OF OUR TOWN!
Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community.",3.0,5K,3.2K,369,6 FANS,Sam Wood,our-town-1940
"BROADWAY’S HOWLING YEAR-RUN COMEDY HIT OF THE SNOOTY SOCIETY BEAUTY WHO SLIPPED AND FELL - IN LOVE!
When a rich woman’s ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",4.0,69K,136K,42K,2.2K FANS,George Cukor,the-philadelphia-story-1940
"RICH IS THEIR HUMOR! DEEP ARE THEIR PASSIONS! RECKLESS ARE THEIR LIVES! MIGHTY IS THEIR STORY!
A man in his fifties reminisces about his childhood growing up in a Welsh mining village at the turn of the 20th century.",4.1,39K,46K,13K,439 FANS,John Ford,how-green-was-my-valley-1941
"THE STIRRING SAGA OF A CHILDLESS BEAUTY…WHO WAS DETERMINED TO BE A MOTHER!
Edna marries Texan Sam Gladney, operator of a wheat mill. They have a son, who is killed when very young. Edna discovers by chance how the law treats children who are without parents and decides to do something about it. She opens a home for foundlings and orphans and begins to place children in good homes, despite the opposition of “conservative” citizens, who would condemn illegitimate children for being born out of wedlock. Eventually Edna leads …more",3.3,4.1K,2K,329,1 FAN,Mervyn LeRoy,blossoms-in-the-dust-1941
"SOME CALLED HIM A HERO…OTHERS CALLED HIM A HEEL.
Newspaper magnate Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",4.2,225K,897K,245K,6.5K FANS,Orson Welles,citizen-kane-1941
"A PICTURE DIFFERENT FROM ANYTHING EVER SCREENED BEFORE!
Boxer Joe Pendleton, flying to his next fight, crashes…because a Heavenly Messenger, new on the job, snatched Joe’s spirit prematurely from his body. Before the matter can be rectified, Joe’s body is cremated; so the celestial Mr. Jordan grants him the use of the body of wealthy Bruce Farnsworth, who’s just been murdered by his wife. Joe tries to remake Farnsworth’s unworthy life in his own clean-cut image, but then falls in love; and what about …more",3.6,9.7K,8K,1.8K,8 FANS,Alexander Hall,here-comes-mr-jordan-1941
"THREE GREAT STARS IN THE STORY OF LOVE…COLDLY CONCEIVED FROM A MAN’S NEED, AND A WOMAN’S DESIRE!
Romanian-French gigolo Georges Iscovescu wishes to enter the USA. Stopped in Mexico by the quota system, he decides to marry an American, then desert her and join his old partner Anita, who’s done likewise. But after sweeping teacher Emmy Brown off her feet, he finds her so sweet that love and jealousy endanger his plans.",3.6,5.4K,3.7K,796,3 FANS,Mitchell Leisen,hold-back-the-dawn-1941
"…THE FILM VERSION OF THE STAGE HIT, AS THE RUTHLESS BEAUTY WHOSE AMBITION SPELT THE DOOM OF THREE MEN
In 1900, a clan attempts to strike a deal with a Chicago industrialist to get him to build cotton mills in their Deep South town.",3.8,12K,15K,3.4K,26 FANS,William Wyler,the-little-foxes-1941
"A STORY AS EXPLOSIVE AS HIS BLAZING AUTOMATICS!
A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",3.9,79K,215K,53K,801 FANS,John Huston,the-maltese-falcon-1941
"FOLKS, MEET A GRAND FATHER! HE’S THE AFFABLE, LAFFABLE HEAD OF THE MOST DELIGHTFUL FAMILY THAT EVER STEPPED OUT OF AMERICA’S SCREENS…INTO AMERICA’S HEARTS!
Episodic look at the life of a minister and his family as they move from one parish to another.",,3K,1.2K,107,,Irving Rapper,one-foot-in-heaven-1941
"MISSILES! JETS! TANKS! … IT’S STILL THE GUY WITH GUTS AND A GUN WHO WINS THE WAR!
Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.",3.6,16K,16K,2.9K,22 FANS,Howard Hawks,sergeant-york-1941
"IN HIS ARMS SHE FELT SAFETY…IN HIS ABSENCE, HAUNTING DREAD!
A sheltered heiress falls for a charming playboy and elopes with him, but soon discovers his gambling vice and mounting debts. As his lies deepen and those around them meet mysterious ends, she begins to suspect that her husband’s affection may conceal a deadly motive—and that she could be his next victim.",3.5,32K,76K,15K,34 FANS,Alfred Hitchcock,suspicion-1941
"“MRS. MINIVER” IS MORE THAN A PICTURE… IT’S DRAMATIC. IT’S TENDER. IT’S HUMAN. IT’S REAL.
Middle-class housewife Kay Miniver deals with petty problems. She and her husband Clem watch her Oxford-educated son Vin court Carol Beldon, the charming granddaughter of the local nobility as represented by Lady Beldon. Then the war comes and Vin joins the RAF.",3.7,28K,21K,4.2K,25 FANS,William Wyler,mrs-miniver-1942
"THE MIGHTEST MANHUNT THAT EVER SWEPT THE SCREEN!
In the early days of World War II, a German U-boat is sunk in Canada’s Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, …more",3.6,10K,10K,2.2K,9 FANS,Michael Powell,49th-parallel-1942
"THE TOWN THEY TALK OF IN WHISPERS.
Five young adults in a small American town face the revelations of secrets that threaten to ruin their hopes and dreams.",3.4,5K,3.3K,595,3 FANS,Sam Wood,kings-row-1942
